Data;Codi Estació;Codi massa d'aigua;Massa d'aigua;UTM X;UTM Y;Variable;Profunditat mostra (m);Valor;Unitat Mesura
2007/03/06;100092000;1000920;Riera de Rafamans;412986;4585160;Potassi;-;20.65;mg/L
2007/03/06;100092000;1000920;Riera de Rafamans;412986;4585160;Sodi;-;129.2;mg/L
2007/03/06;100092000;1000920;Riera de Rafamans;412986;4585160;TOC;-;2.9;mg/L
2007/03/06;100092000;1000920;Riera de Rafamans;412986;4585160;pH;-;8.4;u.pH
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;% Saturació d'oxigen (camp);-;58;%
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Amoni;-;19.92;mg NH4/L
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Bicarbonats;-;500;mg HCO3/L
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Calci;-;156.9;mg/L
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Clorurs;-;301.5;mg/L
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Conductivitat (camp);-;2120;µS/cm
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Conductivitat a 20ºC;-;1760;µS/cm
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Duresa total;-;603.4;mg CaCO3/L
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Error relatiu balanç iònic;-;1.01;%
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Fosfats;-;5.33850828;mg PO4/L
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Magnesi;-;51.4;mg/L
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Nitrats;-;<0.3;mg NO3/L
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Nitrits;-;0.36;mg NO2/L
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Oxigen dissolt (camp);-;6.4;mg/L
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Potassi;-;38.28;mg/L
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Sodi;-;171;mg/L
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Sulfats;-;248;mg/L
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Suma d'anions;-;22.0196;meq/L
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Suma de cations;-;21.5777;meq/L
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;TOC;-;14.5;mg/L
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;Temperatura de l'aigua (camp);-;13;ºC
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;pH;-;8.2;u.pH
2007/03/06;100093000;1000930;Riera de Cervelló;415015;4583453;pH (camp);-;8.1;u.pH
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;% Saturació d'oxigen (camp);-;76.5;%
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Amoni;-;20.67;mg NH4/L
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Bicarbonats;-;537.1;mg HCO3/L
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Calci;-;134.8;mg/L
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Clorurs;-;337.5;mg/L
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Conductivitat (camp);-;2090;µS/cm
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Conductivitat a 20ºC;-;1825;µS/cm
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Duresa total;-;516.1;mg CaCO3/L
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Error relatiu balanç iònic;-;0.81;%
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Fosfats;-;4.72304116;mg PO4/L
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Magnesi;-;43.6;mg/L
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Nitrats;-;<0.3;mg NO3/L
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Nitrits;-;0.58;mg NO2/L
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Oxigen dissolt (camp);-;8.3;mg/L
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Potassi;-;37.68;mg/L
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Sodi;-;199.3;mg/L
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Sulfats;-;143;mg/L
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Suma d'anions;-;21.4342;meq/L
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Suma de cations;-;21.0913;meq/L
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;TOC;-;13.9;mg/L
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;Temperatura de l'aigua (camp);-;12;ºC
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;pH;-;7.7;u.pH
2007/03/13;100094000;1000940;Riera de Torrelles;415060;4578865;pH (camp);-;7.8;u.pH
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;% Saturació d'oxigen (camp);-;83.5;%
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Amoni;-;25.48;mg NH4/L
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Bicarbonats;-;414.3;mg HCO3/L
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Calci;-;136.6;mg/L
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Clorurs;-;537.7;mg/L
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Conductivitat (camp);-;2800;µS/cm
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Conductivitat a 20ºC;-;2511;µS/cm
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Duresa total;-;508.7;mg CaCO3/L
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Error relatiu balanç iònic;-;1.86;%
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Fosfats;-;3.02381672;mg PO4/L
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Magnesi;-;40.7;mg/L
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Nitrats;-;<0.3;mg NO3/L
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Nitrits;-;2.14;mg NO2/L
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Oxigen dissolt (camp);-;8.1;mg/L
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Potassi;-;80.01;mg/L
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Sodi;-;362.9;mg/L
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Sulfats;-;304;mg/L
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Suma d'anions;-;28.3376;meq/L
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Suma de cations;-;29.4135;meq/L
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;TOC;-;12.5;mg/L
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Temperatura de l'aigua (camp);-;15;ºC
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;pH;-;7.6;u.pH
2007/03/13;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;pH (camp);-;7.5;u.pH
