Data;Codi Estació;Codi massa d'aigua;Massa d'aigua;UTM X;UTM Y;Variable;Profunditat mostra (m);Valor;Unitat Mesura
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Amoníac no ionitzat;-;<0.025;mg NH3/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Bicarbonats;-;241.7;mg HCO3/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Calci;-;96.1;mg/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Clor residual total;-;<0.005;mg HClO/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Clorurs;-;80.7;mg/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Conductivitat (camp);-;897;µS/cm
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Conductivitat a 20ºC;-;759;µS/cm
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Duresa total;-;297.2;mg CaCO3/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Error relatiu balanç iònic;-;1.72;%
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Fosfats;-;0.2675944;mg PO4/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Magnesi;-;13.9;mg/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Nitrats;-;16;mg NO3/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Nitrits;-;0.59;mg NO2/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Oxigen dissolt (camp);-;11.6;mg/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Potassi;-;9.71;mg/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Sodi;-;55.18;mg/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Sulfats;-;114;mg/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Suma d'anions;-;8.8853;meq/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Suma de cations;-;8.584;meq/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;TOC;-;4.3;mg/L
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Temperatura de l'aigua (camp);-;14;ºC
2007/03/12;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;pH;-;8.2;u.pH
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;% Saturació d'oxigen (camp);-;113;%
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Amoni;-;0.35;mg NH4/L
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Bicarbonats;-;407;mg HCO3/L
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Calci;-;152;mg/L
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Clorurs;-;63.9;mg/L
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Conductivitat (camp);-;1032;µS/cm
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Conductivitat a 20ºC;-;857;µS/cm
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Duresa total;-;430.2;mg CaCO3/L
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Error relatiu balanç iònic;-;1.39;%
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Fosfats;-;0.21407552;mg PO4/L
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Magnesi;-;12.3;mg/L
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Nitrats;-;37.1;mg NO3/L
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Nitrits;-;0.36;mg NO2/L
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Oxigen dissolt (camp);-;11.6;mg/L
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Potassi;-;4.68;mg/L
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Sodi;-;30.75;mg/L
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Sulfats;-;61;mg/L
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Suma d'anions;-;10.3549;meq/L
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Suma de cations;-;10.0714;meq/L
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;TOC;-;2.7;mg/L
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;Temperatura de l'aigua (camp);-;14;ºC
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;pH;-;7.8;u.pH
2007/04/11;200044000;2000440;Riera de Cinyana;496519;4656557;pH (camp);-;8.9;u.pH
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;% Saturació d'oxigen (camp);-;113;%
